Quote No.;Status;Status Reason;Quote Date;CRM-Status;Customer No.;ZIP;Date for Follow-Up;Followed up on;Person in Charge; Value of Quotation ;Probability (%);Order No.;Responsible;Representative;Customer Ref.;Prod. Category (Text);Prod. Master Class (Text);Scoring Automation;Scoring Tool- & Workholding
1024032;5) Quote not realized;Quote for information purposes;28.08.2024;6) Expired customer;2333;652 21;;10.09.2024;7; 142 468 kr ;;;Sales representative;104;Verktygsväxlare SWS-L 310;3 - Automation Standard;3RW;4 - Casual customer;4 - Casual customer
1024034;4) Order received;Order is entered;28.08.2024;4) Buying customer;1191;531 30;;;1; 10 969 kr ;100%;107356;Sales representative;109;PGL+P 10-AS;3 - Automation Standard;3GP - Gripping Modules pneumatic;2 - Prospect customer;4 - Casual customer
1024028;5) Quote not realized;Quote validity is expired;27.08.2024;5) Lost customer;3003;702 27;;;1; 8 020 kr ;;;Sales representative;104;"""Tång""";3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1024027;4) Order received;Order is entered;27.08.2024;4) Buying customer;1020;151 38;;;3; 1 744 kr ;100%;107302;Sales representative;106;1520432;1 - Chuck Jaws;1XS - Jaws Special;1 - Top customer;1 - Top customer
1024025;5) Quote not realized;Quote validity is expired;27.08.2024;4) Buying customer;1828;952 43;;;1; 11 788 kr ;;;Sales representative;104;Jan-49;3 - Automation Standard;3MS;4 - Casual customer;2 - Prospect customer
1024024;5) Quote not realized;Price/Project not realized;27.08.2024;5) Lost customer;50797;221 86;;14.01.2025;6; 60 593 kr ;100%;;Sales representative;111;5357/AU/FW/JR/Tetra pak/Magnet;4 - Stationary Workholding;405 - Magnetic Clamp. Tech. Std.;4 - Casual customer;4 - Casual customer
1024026;4) Order received;Order is entered;27.08.2024;4) Buying customer;1224;541 34;;;7; 5 116 kr ;100%;107372;Sales representative;109;Extra slitstark sugmatta;3 - Automation Standard;3MS;1 - Top customer;1 - Top customer
1024021;4) Order received;Order is entered;27.08.2024;5) Lost customer;50928;128 06;;;1; 1 327 kr ;100%;107290;Sales representative;104;reservdelskit för PFH-mini 30;3 - Automation Standard;3SO - Service Automation Components;4 - Casual customer;4 - Casual customer
1024013;5) Quote not realized;Quote for information purposes;26.08.2024;4) Buying customer;4043;653 36;;;11; 7 025 kr ;100%;;Sales representative;103;Backar;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;4 - Casual customer
1024014;5) Quote not realized;Replaced by a new quotation;26.08.2024;4) Buying customer;1020;151 38;;;3; 640 kr ;100%;;Sales representative;106;olle.svahn@se.schunk.com;3 - Automation Standard;3ZO - Accessories Automation;1 - Top customer;1 - Top customer
1024015;5) Quote not realized;Quote for information purposes;26.08.2024;4) Buying customer;1660;731 50;;;1; 32 928 kr ;;;Sales representative;104;Via info@;3 - Automation Standard;3DP - Rotary Modules pneumatic;1 - Top customer;4 - Casual customer
1024016;5) Quote not realized;Quote for information purposes;26.08.2024;4) Buying customer;50645;632 17;;;1; 30 870 kr ;100%;;Sales representative;104;Prisförfrågan SCHUNK;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1024018;5) Quote not realized;Quote for information purposes;26.08.2024;4) Buying customer;50645;632 17;;;1; 19 751 kr ;100%;;Sales representative;103;Prisförfrågan sc295285,296072;2 - Toolholding Systems;2XO - Hydraulics Special;4 - Casual customer;4 - Casual customer
1024017;5) Quote not realized;Replaced by a new quotation;26.08.2024;4) Buying customer;51658;821 91;;11.09.2024;11; 142 200 kr ;100%;;Sales representative;103;NSL3;4 - Stationary Workholding;403 - Quick change pallet syst. Std.;4 - Casual customer;4 - Casual customer
1024020;4) Order received;Order is entered;26.08.2024;4) Buying customer;51743;447 37;;;1; 2 540 kr ;100%;107296;Sales representative;109;Via infomailen;3 - Automation Standard;3RW;4 - Casual customer;4 - Casual customer
1024012;5) Quote not realized;Replaced by a new quotation;26.08.2024;3) Qualified potential customer;2706;447 37;;;1; 44 748 kr ;100%;;Sales representative;107;Backar / stopp;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1024011;4) Order received;Order is entered;26.08.2024;5) Lost customer;53126;231 62;;;6; 64 632 kr ;100%;107254;Sales representative;111;TANDEM KSP3 160;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1024019;4) Order received;Order is entered;26.08.2024;4) Buying customer;1536;342 32;;;1; 59 252 kr ;100%;107279;Sales representative;111;Bas och hållare;2 - Toolholding Systems;2XO - Hydraulics Special;4 - Casual customer;4 - Casual customer
1023996;4) Order received;Order is entered;23.08.2024;4) Buying customer;1020;151 38;;;2; 25 690 kr ;100%;107217;Sales representative;118;1519524;4 - Stationary Workholding;403 - Quick change pallet syst. Std.;1 - Top customer;1 - Top customer
1024007;4) Order received;Order is entered;23.08.2024;4) Buying customer;1020;151 38;;;2; 93 369 kr ;100%;107277;Sales representative;118;1519977;4 - Stationary Workholding;402 - Workholding systems special;1 - Top customer;1 - Top customer
1023980;4) Order received;Order is entered;23.08.2024;4) Buying customer;1020;151 38;;;2; 22 790 kr ;100%;107218;Sales representative;118;1518499;A - General;ALG - General;1 - Top customer;1 - Top customer
1024009;5) Quote not realized;Price/Project not realized;23.08.2024;4) Buying customer;1996;335 31;;21.10.2024;1; 32 022 kr ;100%;;Sales representative;111;KSC 125-160;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1023997;4) Order received;Order is entered;22.08.2024;4) Buying customer;52471;331 53;;;11; 112 821 kr ;100%;107310;Sales representative;111;5309/JH/BromiGruppen/RotaTPS20;8 - Lathe Chucks;8XO - Power Chucks Special;4 - Casual customer;4 - Casual customer
1023993;5) Quote not realized;Quote validity is expired;22.08.2024;4) Buying customer;2573;432 74;;05.11.2024;2; 163 692 kr ;100%;;Sales representative;107;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1024003;5) Quote not realized;Project not materialized;22.08.2024;4) Buying customer;1673;446 37;;18.10.2024;1; 49 400 kr ;100%;;Sales representative;107;Via Andreas;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1024006;4) Order received;Order is entered;22.08.2024;4) Buying customer;3837;574 37;;;3; 43 800 kr ;100%;107212;Sales representative;106;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;2 - Prospect customer
1023994;5) Quote not realized;Replaced by a new quotation;22.08.2024;4) Buying customer;1224;541 34;;17.09.2024;1; 1 785 kr ;100%;;Sales representative;109;Sugmatta för FXP-SVK 442 5R18;3 - Automation Standard;3MS;1 - Top customer;1 - Top customer
1023995;4) Order received;Order is entered;22.08.2024;4) Buying customer;4287;973 47;;22.08.2024;2; 30 942 kr ;100%;107185;Sales representative;104;1519464;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1023998;5) Quote not realized;Standard components ordered;22.08.2024;4) Buying customer;52516;833 36;;;3; 10 379 kr ;;;Sales representative;103;Offert;1 - Chuck Jaws;1XO - Jaws Standard;4 - Casual customer;4 - Casual customer
1024000;4) Order received;Order is entered;22.08.2024;4) Buying customer;3560;574 91;;;3; 260 400 kr ;100%;;Sales representative;118;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1024001;5) Quote not realized;Other SCHUNK product ordered;22.08.2024;4) Buying customer;3560;574 91;;;3; 260 400 kr ;100%;;Sales representative;118;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1024002;4) Order received;Order is entered;22.08.2024;4) Buying customer;51138;791 44;;;2; 7 833 kr ;100%;107191;Sales representative;103;Offert;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;4 - Casual customer
1023990;5) Quote not realized;Project not materialized;21.08.2024;4) Buying customer;3411;289 71;;;3;;100%;;Sales representative;-;Offert;;;2 - Prospect customer;4 - Casual customer
1023991;4) Order received;Order is entered;21.08.2024;4) Buying customer;1538;635 10;;;1; 615 kr ;100%;107343;Sales representative;104;Lägesgivare MMS 22-S-M8-PN;3 - Automation Standard;3ZO - Accessories Automation;2 - Prospect customer;4 - Casual customer
1023987;5) Quote not realized;Price/Project not realized;21.08.2024;4) Buying customer;3577;865 51;;29.08.2024;6; 53 905 kr ;100%;;Sales representative;103;5346/AU/FW/Macama/Grundback sp;1 - Chuck Jaws;1XO - Jaws Standard;4 - Casual customer;2 - Prospect customer
1023988;5) Quote not realized;Quote validity is expired;21.08.2024;4) Buying customer;1640;392 39;;;11; 8 397 kr ;100%;;Sales representative;111;SBM 4281;1 - Chuck Jaws;1XS - Jaws Special;2 - Prospect customer;1 - Top customer
1023984;4) Order received;Order is entered;21.08.2024;4) Buying customer;1020;151 38;;;2; 27 806 kr ;100%;107220;Sales representative;118;1519025;4 - Stationary Workholding;404 - Quick change pallet syst. spec.;1 - Top customer;1 - Top customer
1023985;4) Order received;Order is entered;21.08.2024;4) Buying customer;51658;821 91;;11.09.2024;3; 57 732 kr ;100%;107984;Sales representative;103;Offert;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1023986;4) Order received;Order is entered;21.08.2024;4) Buying customer;2686;412 96;;;2; 20 980 kr ;100%;107425;Sales representative;107;Reparations case 9068;2 - Toolholding Systems;2XO - Hydraulics Special;4 - Casual customer;4 - Casual customer
1023975;4) Order received;Order is entered;20.08.2024;4) Buying customer;1839;523 37;;;2; 10 343 kr ;100%;107137;Sales representative;109;Reparations case 9059;5 - Automation System Solutions;5SK - Special components;4 - Casual customer;4 - Casual customer
1023977;4) Order received;Order is entered;20.08.2024;5) Lost customer;3807;134 39;;20.08.2024;1; 7 852 kr ;100%;107147;Sales representative;104;Skumplattor;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1023978;5) Quote not realized;Project not materialized;20.08.2024;4) Buying customer;52191;825 30;;22.09.2025;4; 152 400 kr ;50%;;Sales representative;103;5345/FW/JS/Andritz/Ny uppspänn;4 - Stationary Workholding;405 - Magnetic Clamp. Tech. Std.;4 - Casual customer;4 - Casual customer
1023979;5) Quote not realized;Project not materialized;20.08.2024;3) Qualified potential customer;3221;242 31;;17.09.2024;1; 5 098 kr ;100%;;Sales representative;105;Plastic cover band (blue);5 - Automation System Solutions;5BL - Assembly Groups;4 - Casual customer;4 - Casual customer
1023981;5) Quote not realized;Quote for information purposes;20.08.2024;4) Buying customer;52191;825 30;;;4; 20 420 kr ;100%;;Sales representative;103;Tillbehör ROTA-S flex;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;4 - Casual customer
1023982;4) Order received;Order is entered;20.08.2024;4) Buying customer;52236;163 41;;;4; 18 130 kr ;100%;107138;Sales representative;103;Förfrågan backar;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;4 - Casual customer
1023976;4) Order received;Order is entered;20.08.2024;4) Buying customer;1170;973 47;;;3; 2 492 kr ;100%;107312;Sales representative;104;1518436;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1023983;4) Order received;Order is entered;20.08.2024;4) Buying customer;1020;151 38;;;1; 1 671 kr ;100%;107160;Sales representative;106;RFQ / IR 1518562;3 - Automation Standard;3ZO - Accessories Automation;1 - Top customer;1 - Top customer
1023965;4) Order received;Order is entered;19.08.2024;4) Buying customer;3267;415 05;;;1; 5 712 kr ;100%;107097;Sales representative;107;Slitdelssats;4 - Stationary Workholding;404 - Quick change pallet syst. spec.;2 - Prospect customer;4 - Casual customer
1023966;4) Order received;Order is entered;19.08.2024;4) Buying customer;2742;261 51;;22.08.2024;1; 58 536 kr ;100%;107288;Sales representative;105;PGN+P 160 BSWS;3 - Automation Standard;3GP - Gripping Modules pneumatic;2 - Prospect customer;4 - Casual customer
1023967;5) Quote not realized;Quote for information purposes;19.08.2024;4) Buying customer;52260;334 33;;23.08.2024;1; 29 316 kr ;100%;;Sales representative;105;ORG085;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1023971;4) Order received;Order is entered;19.08.2024;4) Buying customer;1186;973 45;;;1; 4 655 kr ;100%;107164;Sales representative;104;Renovering 9049 / FDB 900;3 - Automation Standard;3SO - Service Automation Components;4 - Casual customer;4 - Casual customer
1023973;4) Order received;Order is entered;19.08.2024;4) Buying customer;1554;652 21;;;6; 3 661 kr ;100%;107181;Sales representative;103;Offert;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1023974;4) Order received;Order is entered;19.08.2024;4) Buying customer;1063;702 27;;19.09.2024;3; 34 880 kr ;100%;108966;Sales representative;104;Offert;3 - Automation Standard;3GP - Gripping Modules pneumatic;3 - Maxed sales customer;4 - Casual customer
1023960;4) Order received;Order is entered;16.08.2024;4) Buying customer;1020;151 38;;;3; 5 604 kr ;100%;107090;Sales representative;106;1517630;3 - Automation Standard;3ZO - Accessories Automation;1 - Top customer;1 - Top customer
1023962;4) Order received;Order is entered;16.08.2024;4) Buying customer;1839;523 37;;;7; 16 572 kr ;100%;107280;Sales representative;109;ROB-SET ECBPMi OMRON;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1023963;4) Order received;Order is entered;16.08.2024;5) Lost customer;3744;195 93;;;1; 20 630 kr ;100%;107101;Sales representative;104;2269 Schmalz Gripdon;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1023964;5) Quote not realized;Price/Project not realized;16.08.2024;4) Buying customer;50014;231 62;;21.10.2024;1; 87 080 kr ;100%;;Sales representative;111;Skruvstycke KSP3 160;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1023961;5) Quote not realized;Quote validity is expired;16.08.2024;5) Lost customer;52969;271 39;;03.10.2024;4; 251 649 kr ;100%;;Sales representative;111;QUASER #2;4 - Stationary Workholding;406 - Magnetic Clamp. Techn. Special;4 - Casual customer;4 - Casual customer
1023955;4) Order received;Order is entered;15.08.2024;5) Lost customer;51420;382 92;;;1; 3 600 kr ;100%;107053;Sales representative;111;Gripbackar för KSC 125;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1023957;4) Order received;Order is entered;15.08.2024;4) Buying customer;50947;291 67;;;1; 1 038 kr ;100%;107070;Sales representative;105;packningssats till SWK041;3 - Automation Standard;3SO - Service Automation Components;3 - Maxed sales customer;4 - Casual customer
1023958;4) Order received;Order is entered;15.08.2024;5) Lost customer;1653;554 54;;;11; 47 759 kr ;100%;107069;Sales representative;102;4506/FW/Stenbergs/Ombyggnad LB;8 - Lathe Chucks;8XO - Power Chucks Special;2 - Prospect customer;2 - Prospect customer
1023959;4) Order received;Order is entered;15.08.2024;4) Buying customer;50947;291 67;;;4; 6 022 kr ;100%;107071;Sales representative;111;Kabel till magnetbord;4 - Stationary Workholding;406 - Magnetic Clamp. Techn. Special;3 - Maxed sales customer;4 - Casual customer
1023956;5) Quote not realized;Quote for information purposes;15.08.2024;4) Buying customer;50303;564 35;;;1; 17 000 kr ;100%;;Sales representative;109;Givare IN 50;3 - Automation Standard;3ZO - Accessories Automation;4 - Casual customer;2 - Prospect customer
1023954;4) Order received;Order is entered;15.08.2024;4) Buying customer;3736;432 31;;;1; 1 765 kr ;100%;107232;Sales representative;109;Reservdelar ORG085;3 - Automation Standard;3SO - Service Automation Components;4 - Casual customer;4 - Casual customer
1023737;4) Order received;Order is entered;15.08.2024;4) Buying customer;1063;702 27;;;3; 61 144 kr ;100%;107083;Sales representative;104;Wik;3 - Automation Standard;3GP - Gripping Modules pneumatic;3 - Maxed sales customer;4 - Casual customer
1023739;4) Order received;Order is entered;14.08.2024;4) Buying customer;3592;591 32;;;11; 500 000 kr ;100%;107054;Sales representative;118;VERO-S SSN turn-S 14x NSE3 138;4 - Stationary Workholding;402 - Workholding systems special;4 - Casual customer;4 - Casual customer
1023953;5) Quote not realized;Quote validity is expired;14.08.2024;4) Buying customer;2700;507 30;;23.08.2024;1; 7 407 kr ;95%;;Sales representative;109;Via infomail;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1023947;4) Order received;Order is entered;14.08.2024;4) Buying customer;3592;591 32;;11.09.2024;11; 35 739 kr ;100%;107657;Sales representative;118;CENTERING CONE + SPC & SPB;4 - Stationary Workholding;404 - Quick change pallet syst. spec.;4 - Casual customer;4 - Casual customer
1023948;5) Quote not realized;Quote validity is expired;14.08.2024;5) Lost customer;1653;554 54;;04.09.2024;4; 275 412 kr ;100%;;Sales representative;102;5340/FW/RC/Stenbergs/LT3000EX;8 - Lathe Chucks;8XS - Power Chucks Standard;2 - Prospect customer;2 - Prospect customer
1023949;4) Order received;Order is entered;14.08.2024;4) Buying customer;1020;151 38;;;3; 17 613 kr ;100%;107089;Sales representative;106;1516697;1 - Chuck Jaws;1XO - Jaws Standard;1 - Top customer;1 - Top customer
1023951;4) Order received;Order is entered;14.08.2024;4) Buying customer;1026;731 36;;;1; 41 584 kr ;100%;107044;Sales representative;104;GRIPCHUCK SCHUNK PZN+ 160-1-AS;3 - Automation Standard;3GP - Gripping Modules pneumatic;1 - Top customer;2 - Prospect customer
1023950;4) Order received;Order is entered;14.08.2024;4) Buying customer;3784;553 03;;;1; 8 845 kr ;100%;107243;Sales representative;107;via infomail;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;1 - Top customer
1023952;4) Order received;Order is entered;14.08.2024;4) Buying customer;2805;541 34;;;11; 31 090 kr ;100%;107168;Sales representative;107;KSH3-LH 100;4 - Stationary Workholding;401 - Clamping systems Std.;1 - Top customer;2 - Prospect customer
1023945;4) Order received;Order is entered;13.08.2024;4) Buying customer;2991;331 92;;;11; 1 403 kr ;100%;107022;Sales representative;111;Fett till ROTA TPS;8 - Lathe Chucks;8XS - Power Chucks Standard;4 - Casual customer;2 - Prospect customer
1023939;4) Order received;Order is entered;13.08.2024;4) Buying customer;4300;335 32;;;1; 295 727 kr ;100%;107017;Sales representative;111;KSP3-140;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1023946;4) Order received;Order is entered;13.08.2024;4) Buying customer;50612;655 60;;15.08.2024;4; 105 803 kr ;100%;107445;Sales representative;103;ROTA NCO 260;8 - Lathe Chucks;8XS - Power Chucks Standard;4 - Casual customer;2 - Prospect customer
1023944;4) Order received;Order is entered;13.08.2024;4) Buying customer;1627;702 15;;;1; 8 445 kr ;100%;107049;Sales representative;103;Kloback SZKA 216;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1023943;4) Order received;Order is entered;13.08.2024;4) Buying customer;1026;731 36;;;3; 3 628 kr ;100%;107175;Sales representative;104;Offert;3 - Automation Standard;3ZO - Accessories Automation;1 - Top customer;2 - Prospect customer
1023926;4) Order received;Order is entered;12.08.2024;5) Lost customer;52969;271 39;;;4; 124 976 kr ;100%;106997;Sales representative;111;5335/FW/JR/Magnetbord QUASER;4 - Stationary Workholding;405 - Magnetic Clamp. Tech. Std.;4 - Casual customer;4 - Casual customer
1023942;4) Order received;Order is entered;12.08.2024;4) Buying customer;1221;726 30;;;7; 4 319 kr ;100%;107204;Sales representative;104;Sugkopp.;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1023935;5) Quote not realized;Quote validity is expired;09.08.2024;4) Buying customer;1612;531 60;;15.08.2024;1; 574 754 kr ;100%;;Sales representative;109;2240450;5 - Automation System Solutions;5BL - Assembly Groups;2 - Prospect customer;4 - Casual customer
1023936;4) Order received;Order is entered;09.08.2024;4) Buying customer;1085;574 38;;;1; 27 294 kr ;100%;107050;Sales representative;106;FC32.RO01.GR01;3 - Automation Standard;3GP - Gripping Modules pneumatic;1 - Top customer;4 - Casual customer
1023937;4) Order received;Order is entered;09.08.2024;4) Buying customer;1085;574 38;;;1; 3 146 kr ;100%;107047;Sales representative;106;FC32.RO01.GR01;3 - Automation Standard;3MS;1 - Top customer;4 - Casual customer
1023938;5) Quote not realized;Price/Project not realized;09.08.2024;4) Buying customer;1403;213 76;;21.10.2024;1; 3 685 kr ;100%;;Sales representative;111;JBM-ST162 BACK;1 - Chuck Jaws;1XS - Jaws Special;4 - Casual customer;2 - Prospect customer
1023934;4) Order received;Order is entered;08.08.2024;4) Buying customer;1020;151 38;;;1; 38 844 kr ;100%;106971;Sales representative;106;RFQ IR1515226;3 - Automation Standard;3GP - Gripping Modules pneumatic;1 - Top customer;1 - Top customer
1023933;5) Quote not realized;Quote for information purposes;08.08.2024;4) Buying customer;3250;522 30;;21.08.2024;8; 21 900 kr ;100%;;Sales representative;107;PFG HSK-A/C/E 50 HSK-B/D/F 63;2 - Toolholding Systems;2ZA - Accessories;4 - Casual customer;4 - Casual customer
1023925;4) Order received;Order is entered;07.08.2024;5) Lost customer;52969;271 39;;20.08.2024;4; 529 195 kr ;100%;107140;Sales representative;111;5335/FW/JR/Magnetbord DOOSAN;4 - Stationary Workholding;405 - Magnetic Clamp. Tech. Std.;4 - Casual customer;4 - Casual customer
1023928;5) Quote not realized;Quote for information purposes;07.08.2024;5) Lost customer;52969;271 39;;;4; 86 366 kr ;100%;;Sales representative;111;5335/FW/JR/Magnetbord DMU;4 - Stationary Workholding;405 - Magnetic Clamp. Tech. Std.;4 - Casual customer;4 - Casual customer
1023927;4) Order received;Order is entered;07.08.2024;4) Buying customer;1612;531 60;;;8; 7 571 kr ;100%;106964;Sales representative;109;2240424;5 - Automation System Solutions;5BL - Assembly Groups;2 - Prospect customer;4 - Casual customer
1023929;4) Order received;Order is entered;07.08.2024;4) Buying customer;1023;737 30;;;1; 7 194 kr ;100%;107202;Sales representative;103;Backar för KSC80;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;2 - Prospect customer
1023930;5) Quote not realized;Quote for information purposes;07.08.2024;4) Buying customer;1015;641 30;;;1; 108 000 kr ;100%;;Sales representative;118;Chuck Rota THW+315;8 - Lathe Chucks;8XS - Power Chucks Standard;2 - Prospect customer;4 - Casual customer
1023931;4) Order received;Order is entered;07.08.2024;4) Buying customer;1015;641 30;;;1; 13 202 kr ;100%;106951;Sales representative;118;Reservdelar THW+315;8 - Lathe Chucks;8XS - Power Chucks Standard;2 - Prospect customer;4 - Casual customer
1023932;4) Order received;Order is entered;07.08.2024;4) Buying customer;1403;213 76;;;1; 14 450 kr ;100%;106958;Sales representative;111;Verktygshållare + hylsor;2 - Toolholding Systems;2TS - TENDO;4 - Casual customer;2 - Prospect customer
1023921;5) Quote not realized;Quote for information purposes;06.08.2024;4) Buying customer;1612;531 60;;;1; 537 kr ;100%;;Sales representative;109;2240436;3 - Automation Standard;3ZO - Accessories Automation;2 - Prospect customer;4 - Casual customer
1023922;5) Quote not realized;Quote for information purposes;06.08.2024;4) Buying customer;1261;295 31;;20.08.2024;1;;98%;;Sales representative;105;Ärende: 9050 / kontroll SWK310;3 - Automation Standard;3SO - Service Automation Components;1 - Top customer;4 - Casual customer
1023923;5) Quote not realized;Quote for information purposes;06.08.2024;4) Buying customer;1660;731 50;;;1; 7 006 kr ;;;Sales representative;104;Offertförfrågan -SEJFO;3 - Automation Standard;3GP - Gripping Modules pneumatic;1 - Top customer;4 - Casual customer
1023924;5) Quote not realized;Quote for information purposes;06.08.2024;4) Buying customer;1612;531 60;;;8; 293 kr ;100%;;Sales representative;107;2240440;A - General;ALG - General;2 - Prospect customer;4 - Casual customer
1023920;4) Order received;Order is entered;05.08.2024;4) Buying customer;2669;431 37;;;11; 10 530 kr ;100%;106910;Sales representative;107;KSC3 grip 125-160;4 - Stationary Workholding;401 - Clamping systems Std.;4 - Casual customer;4 - Casual customer
1023918;4) Order received;Order is entered;01.08.2024;4) Buying customer;1224;541 34;;;8; 72 930 kr ;100%;107120;Sales representative;109;Gripfingrar;5 - Automation System Solutions;5SK - Special components;1 - Top customer;1 - Top customer
1023919;4) Order received;Order is entered;01.08.2024;5) Lost customer;3769;811 32;;;8; 4 114 kr ;100%;106900;Sales representative;104;Schmalz sugblock;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1023916;5) Quote not realized;Quote validity is expired;30.07.2024;6) Expired customer;2333;652 21;;05.09.2024;8; 63 214 kr ;100%;;Sales representative;104;Gripdon till GoFa;5 - Automation System Solutions;5SK - Special components;4 - Casual customer;4 - Casual customer
1023915;5) Quote not realized;Quote validity is expired;30.07.2024;6) Expired customer;2333;652 21;01.08.2024;;1; 44 960 kr ;100%;;Sales representative;104;via mail;3 - Automation Standard;3GP - Gripping Modules pneumatic;4 - Casual customer;4 - Casual customer
1023912;4) Order received;Order is entered;25.07.2024;4) Buying customer;1015;641 30;;;1; 7 116 kr ;100%;106873;Sales representative;118;Camp bolt för rota THW 315;8 - Lathe Chucks;8XS - Power Chucks Standard;2 - Prospect customer;4 - Casual customer
1023913;4) Order received;Order is entered;25.07.2024;4) Buying customer;52471;331 53;;05.09.2024;11; 112 821 kr ;100%;107310;Sales representative;111;5309/JH/BromiGruppen/RotaTPS20;8 - Lathe Chucks;8XO - Power Chucks Special;4 - Casual customer;4 - Casual customer
1023914;4) Order received;Order is entered;25.07.2024;3) Qualified potential customer;3221;242 31;;26.07.2024;8; 1 645 kr ;100%;106876;Sales representative;105;5312/MS/RA/Nolato MediTech/HSB;5 - Automation System Solutions;5BL - Assembly Groups;4 - Casual customer;4 - Casual customer
1023909;4) Order received;Order is entered;24.07.2024;4) Buying customer;51674;343 72;;;1; 326 kr ;100%;107167;Sales representative;111;Kontakt för Speedybat;4 - Stationary Workholding;405 - Magnetic Clamp. Tech. Std.;4 - Casual customer;2 - Prospect customer
1023908;4) Order received;Order is entered;23.07.2024;5) Lost customer;52709;931 36;;;1; 6 760 kr ;100%;106881;Sales representative;104;via Schmalz.com;3 - Automation Standard;3MS;4 - Casual customer;4 - Casual customer
1023902;4) Order received;Order is entered;22.07.2024;4) Buying customer;1243;415 50;;;1; 77 095 kr ;100%;106917;Sales representative;109;Rep. 4300322987 / 9036;3 - Automation Standard;3SO - Service Automation Components;1 - Top customer;2 - Prospect customer
1023903;5) Quote not realized;Quote for information purposes;22.07.2024;4) Buying customer;2210;451 76;;;1;;100%;;Sales representative;109;PO31633 € CAPA1318 / 9053;3 - Automation Standard;3SO - Service Automation Components;2 - Prospect customer;4 - Casual customer
1023904;4) Order received;Order is entered;22.07.2024;4) Buying customer;1224;541 34;;;1; 17 648 kr ;100%;106866;Sales representative;109;Slitbelägg (mässing)  Schunk;5 - Automation System Solutions;5SK - Special components;1 - Top customer;1 - Top customer
1023905;5) Quote not realized;Quote validity is expired;22.07.2024;4) Buying customer;1224;541 34;;06.09.2024;8; 3 900 kr ;100%;;Sales representative;109;5310/MS/OS/Volvo/Quentes 20 sp;5 - Automation System Solutions;5SK - Special components;1 - Top customer;1 - Top customer
1023906;4) Order received;Order is entered;22.07.2024;5) Lost customer;3728;360 30;;;1; 4 996 kr ;100%;106991;Sales representative;111;reservdel;8 - Lathe Chucks;8XO - Power Chucks Special;4 - Casual customer;4 - Casual customer
1023907;5) Quote not realized;Quote validity is expired;22.07.2024;4) Buying customer;1020;151 38;;10.09.2024;1; 20 305 kr ;100%;;Sales representative;106;Reservdel linjäraxel S/N122927;5 - Automation System Solutions;5BL - Assembly Groups;1 - Top customer;1 - Top customer
1023899;4) Order received;Order is entered;19.07.2024;4) Buying customer;2503;418 78;;;2; 98 402 kr ;100%;106852;Sales representative;109;V4986050-013;3 - Automation Standard;3RW;2 - Prospect customer;4 - Casual customer
1023901;4) Order received;Order is entered;19.07.2024;4) Buying customer;1015;641 30;;;11; 9 510 kr ;100%;106853;Sales representative;118;Reservdelar THW315 S/N 164207;8 - Lathe Chucks;8XS - Power Chucks Standard;2 - Prospect customer;4 - Casual customer
